"","datasize","algo","variable","iter"
"562",15000,"OEMVR","X5",5331
"563",20000,"OEMVR","X5",4590
"564",25000,"OEMVR","X5",6504
"565",30000,"OEMVR","X5",6047
"566",35000,"OEMVR","X5",9867
"567",40000,"OEMVR","X5",6947
"568",45000,"OEMVR","X5",8109
"569",50000,"OEMVR","X5",9196
"570",55000,"OEMVR","X5",8851
"571",60000,"OEMVR","X5",12655
"572",65000,"OEMVR","X5",11814
"573",70000,"OEMVR","X5",14096
"574",75000,"OEMVR","X5",14381
"575",80000,"OEMVR","X5",10908
"576",85000,"OEMVR","X5",13851
"577",90000,"OEMVR","X5",16697
"578",95000,"OEMVR","X5",20285
"579",1e+05,"OEMVR","X5",14866
"580",105000,"OEMVR","X5",22851
"581",1000,"SAGA","X1",520
"582",2000,"SAGA","X1",1336
"583",3000,"SAGA","X1",1628
"584",4000,"SAGA","X1",3232
"585",5000,"SAGA","X1",2048
"586",6000,"SAGA","X1",3029
"587",7000,"SAGA","X1",2501
"588",8000,"SAGA","X1",2720
"589",9000,"SAGA","X1",1902
"590",10000,"SAGA","X1",3210
"591",15000,"SAGA","X1",5921
"592",20000,"SAGA","X1",3378
"593",25000,"SAGA","X1",9842
"594",30000,"SAGA","X1",7478
"595",35000,"SAGA","X1",9523
"596",40000,"SAGA","X1",9735
"597",45000,"SAGA","X1",12745
"598",50000,"SAGA","X1",9704
"599",55000,"SAGA","X1",11202
"600",60000,"SAGA","X1",9476
"601",65000,"SAGA","X1",14492
"602",70000,"SAGA","X1",12243
"603",75000,"SAGA","X1",12815
"604",80000,"SAGA","X1",12508
"605",85000,"SAGA","X1",13138
"606",90000,"SAGA","X1",15596
"607",95000,"SAGA","X1",15322
"608",1e+05,"SAGA","X1",14782
"609",105000,"SAGA","X1",15431
"610",1000,"SAGA","X2",970
"611",2000,"SAGA","X2",822
"612",3000,"SAGA","X2",1144
"613",4000,"SAGA","X2",1286
"614",5000,"SAGA","X2",1970
"615",6000,"SAGA","X2",2812
"616",7000,"SAGA","X2",1860
"617",8000,"SAGA","X2",2582
"618",9000,"SAGA","X2",4204
"619",10000,"SAGA","X2",4097
"620",15000,"SAGA","X2",3749
"621",20000,"SAGA","X2",5247
"622",25000,"SAGA","X2",7387
"623",30000,"SAGA","X2",6605
"624",35000,"SAGA","X2",8279
"625",40000,"SAGA","X2",7865
"626",45000,"SAGA","X2",7040
"627",50000,"SAGA","X2",10048
"628",55000,"SAGA","X2",11304
"629",60000,"SAGA","X2",14456
"630",65000,"SAGA","X2",12721
"631",70000,"SAGA","X2",15050
"632",75000,"SAGA","X2",12592
"633",80000,"SAGA","X2",16250
"634",85000,"SAGA","X2",19182
"635",90000,"SAGA","X2",14711
"636",95000,"SAGA","X2",14200
"637",1e+05,"SAGA","X2",17773
"638",105000,"SAGA","X2",17891
"639",1000,"SAGA","X3",473
"640",2000,"SAGA","X3",909
"641",3000,"SAGA","X3",1106
"642",4000,"SAGA","X3",1373
"643",5000,"SAGA","X3",1373
"644",6000,"SAGA","X3",2453
"645",7000,"SAGA","X3",1530
"646",8000,"SAGA","X3",2670
"647",9000,"SAGA","X3",2772
"648",10000,"SAGA","X3",2833
"649",15000,"SAGA","X3",4370
"650",20000,"SAGA","X3",5806
"651",25000,"SAGA","X3",6272
"652",30000,"SAGA","X3",9746
"653",35000,"SAGA","X3",7428
"654",40000,"SAGA","X3",13371
"655",45000,"SAGA","X3",10060
"656",50000,"SAGA","X3",10014
"657",55000,"SAGA","X3",11170
"658",60000,"SAGA","X3",11361
"659",65000,"SAGA","X3",9982
"660",70000,"SAGA","X3",12377
"661",75000,"SAGA","X3",12918
"662",80000,"SAGA","X3",14828
"663",85000,"SAGA","X3",12567
"664",90000,"SAGA","X3",20177
"665",95000,"SAGA","X3",15687
"666",1e+05,"SAGA","X3",16111
"667",105000,"SAGA","X3",17257
"668",1000,"SAGA","X4",1003
"669",2000,"SAGA","X4",2380
"670",3000,"SAGA","X4",2537
"671",4000,"SAGA","X4",1392
"672",5000,"SAGA","X4",1559
"673",6000,"SAGA","X4",2232
"674",7000,"SAGA","X4",3000
"675",8000,"SAGA","X4",3339
"676",9000,"SAGA","X4",3109
"677",10000,"SAGA","X4",3402
"678",15000,"SAGA","X4",4960
"679",20000,"SAGA","X4",5200
"680",25000,"SAGA","X4",7978
"681",30000,"SAGA","X4",5820
"682",35000,"SAGA","X4",8735
"683",40000,"SAGA","X4",8070
"684",45000,"SAGA","X4",7992
"685",50000,"SAGA","X4",9847
"686",55000,"SAGA","X4",11303
"687",60000,"SAGA","X4",11294
"688",65000,"SAGA","X4",16793
"689",70000,"SAGA","X4",13983
"690",75000,"SAGA","X4",12569
"691",80000,"SAGA","X4",11736
"692",85000,"SAGA","X4",12676
"693",90000,"SAGA","X4",12046
"694",95000,"SAGA","X4",13869
"695",1e+05,"SAGA","X4",12605
"696",105000,"SAGA","X4",16504
"697",1000,"SAGA","X5",653
"698",2000,"SAGA","X5",1267
"699",3000,"SAGA","X5",963
"700",4000,"SAGA","X5",1811
"701",5000,"SAGA","X5",1184
"702",6000,"SAGA","X5",2099
"703",7000,"SAGA","X5",2192
"704",8000,"SAGA","X5",3217
"705",9000,"SAGA","X5",2752
"706",10000,"SAGA","X5",2829
"707",15000,"SAGA","X5",4692
"708",20000,"SAGA","X5",5119
"709",25000,"SAGA","X5",4591
"710",30000,"SAGA","X5",6957
"711",35000,"SAGA","X5",7193
"712",40000,"SAGA","X5",9035
"713",45000,"SAGA","X5",8569
"714",50000,"SAGA","X5",9399
"715",55000,"SAGA","X5",13021
"716",60000,"SAGA","X5",13144
"717",65000,"SAGA","X5",11058
"718",70000,"SAGA","X5",11738
"719",75000,"SAGA","X5",12243
"720",80000,"SAGA","X5",13571
"721",85000,"SAGA","X5",13180
"722",90000,"SAGA","X5",16442
"723",95000,"SAGA","X5",13412
"724",1e+05,"SAGA","X5",17404
"725",105000,"SAGA","X5",18268
