rep,id,eta_p0,eta_alpha,eta_tau
8,61,0.000000,0.580065,-7.137041
9,61,0.000000,0.580065,-7.137041
10,61,0.000000,0.580065,-7.119508
1,62,0.000000,0.785842,10.750224
2,62,0.000000,0.831192,10.750224
3,62,0.000000,0.829225,10.750224
4,62,0.000000,0.793315,10.750224
5,62,0.000000,0.793315,10.750224
6,62,0.000000,0.793315,10.750224
7,62,0.000000,0.793315,10.571357
8,62,0.000000,0.774890,10.676379
9,62,0.000000,0.774890,10.676379
10,62,0.000000,0.770198,10.676379
1,63,0.000000,-0.644036,-5.754585
2,63,0.000000,-0.607645,-5.762404
3,63,0.000000,-0.607645,-5.762404
4,63,0.000000,-0.607645,-5.528482
5,63,0.000000,-0.618300,-5.755846
6,63,0.000000,-0.612094,-5.720722
7,63,0.000000,-0.612094,-5.637196
8,63,0.000000,-0.612094,-5.637196
9,63,0.000000,-0.612094,-5.853421
10,63,0.000000,-0.603545,-5.895306
1,64,0.000000,-0.003374,1.234635
2,64,0.000000,0.035080,1.324395
3,64,0.000000,0.050364,0.955583
4,64,0.000000,0.104050,1.722736
5,64,0.000000,0.105923,1.670829
6,64,0.000000,0.105923,1.724551
7,64,0.000000,0.062365,1.252833
8,64,0.000000,0.050772,1.396310
9,64,0.000000,0.050772,1.390252
10,64,0.000000,0.042436,1.371708
1,65,0.000000,0.058554,8.318881
2,65,0.000000,0.055613,8.646790
3,65,0.000000,0.065521,8.399563
4,65,0.000000,0.065521,8.399563
5,65,0.000000,0.067859,8.200591
6,65,0.000000,0.055765,8.311851
7,65,0.000000,0.080699,8.311851
8,65,0.000000,0.110228,8.647365
9,65,0.000000,0.116332,8.365618
10,65,0.000000,0.036380,8.393739
1,66,0.000000,0.571365,0.453792
2,66,0.000000,0.552217,0.030672
3,66,0.000000,0.552217,0.187572
4,66,0.000000,0.553755,0.173215
5,66,0.000000,0.585879,0.173215
6,66,0.000000,0.585879,0.330491
7,66,0.000000,0.585879,0.330491
8,66,0.000000,0.578687,0.388892
9,66,0.000000,0.624429,0.310431
10,66,0.000000,0.612437,0.374742
1,67,0.000000,0.304438,12.165650
2,67,0.000000,0.227096,13.545501
3,67,0.000000,0.173087,13.930260
4,67,0.000000,0.171283,13.408267
5,67,0.000000,0.198187,12.831472
6,67,0.000000,0.236811,13.141243
7,67,0.000000,0.223181,13.597485
8,67,0.000000,0.241244,13.031347
9,67,0.000000,0.229147,12.966359
10,67,0.000000,0.282297,13.241512
1,68,0.000000,-0.461899,4.497095
2,68,0.000000,-0.477083,4.497095
3,68,0.000000,-0.447175,4.418286
4,68,0.000000,-0.469366,4.365132
5,68,0.000000,-0.465846,4.505009
6,68,0.000000,-0.473113,4.067167
7,68,0.000000,-0.402225,4.745741
8,68,0.000000,-0.388371,4.618391
9,68,0.000000,-0.390238,4.618394
10,68,0.000000,-0.413411,5.044015
1,69,0.000000,-0.230514,5.448189
2,69,0.000000,-0.197041,5.457432
3,69,0.000000,-0.249223,5.499804
4,69,0.000000,-0.218912,5.715659
5,69,0.000000,-0.218912,5.233711
6,69,0.000000,-0.258223,5.137775
7,69,0.000000,-0.267375,5.229046
8,69,0.000000,-0.267375,5.229046
9,69,0.000000,-0.232963,5.311080
10,69,0.000000,-0.192301,5.652998
1,70,0.000000,-0.547184,4.725509
2,70,0.000000,-0.564867,4.779629
3,70,0.000000,-0.519374,4.928325
4,70,0.000000,-0.554047,4.681529
5,70,0.000000,-0.497672,4.862799
6,70,0.000000,-0.555537,4.490120
7,70,0.000000,-0.555537,4.672843
8,70,0.000000,-0.555537,4.493974
