iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
242,-9092.75,1,0.00986098,0.0432732,0.516141,7.398,0.403548,74.4637
243,-9059.86,1,0.00994517,0.0431948,0.519419,7.39829,0.403672,74.466
244,-9082.16,1,0.00989171,0.0430927,0.515525,7.40266,0.403469,74.4566
245,-9100.24,1,0.00984416,0.0431111,0.516194,7.37466,0.403509,74.435
246,-9120.88,1,0.00978173,0.0430447,0.515971,7.40142,0.403608,74.4374
247,-9114.48,1,0.00979444,0.0429554,0.515679,7.43331,0.403707,74.4518
248,-9104.93,1,0.0098141,0.0430152,0.518639,7.42854,0.4035,74.4608
249,-9060.92,1,0.00992493,0.0431055,0.520764,7.4691,0.403515,74.4758
250,-9017.93,1,0.0100518,0.0431147,0.519169,7.47126,0.403305,74.4711
251,-9023.14,1,0.0100492,0.043086,0.515177,7.46452,0.403472,74.4524
252,-8990.79,1,0.0101641,0.0429467,0.510722,7.41935,0.403433,74.4481
253,-9001.79,1,0.0101466,0.0430935,0.511942,7.32873,0.403474,74.4351
254,-9062.38,1,0.00996167,0.0429558,0.510934,7.39725,0.403441,74.4485
255,-9066.86,1,0.00995577,0.0431312,0.511535,7.35297,0.403226,74.4321
256,-9049.02,1,0.0100001,0.0431472,0.512063,7.37927,0.403302,74.4389
257,-9037.59,1,0.0100212,0.0433267,0.518275,7.35077,0.403319,74.4213
258,-9013.79,1,0.0100999,0.0432638,0.515741,7.33475,0.403366,74.406
259,-9050.92,1,0.00997672,0.0431044,0.518957,7.37354,0.40357,74.4237
260,-9008.42,1,0.0101017,0.0430883,0.517541,7.37881,0.403544,74.4477
261,-8997.47,1,0.0101199,0.0430296,0.520838,7.4008,0.403549,74.4465
262,-9019.26,1,0.0100616,0.0429897,0.51885,7.40554,0.403682,74.4711
263,-9043.91,1,0.0100025,0.042901,0.514219,7.41152,0.403535,74.4696
264,-9025.26,1,0.0100526,0.0427938,0.516007,7.40365,0.403452,74.4792
265,-9008.66,1,0.0101031,0.0429364,0.516341,7.3853,0.403407,74.4566
266,-8976.78,1,0.0101918,0.0428897,0.515162,7.42208,0.403439,74.4742
