id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
34,0.186321,0.031177,63.721733,0.187385,0.031489,63.781562,0.000000,0.000559,0.128616
35,0.186415,0.030850,70.484086,0.185886,0.030838,70.457548,0.000000,0.001111,0.140390
36,0.186488,0.026111,64.663949,0.186536,0.026016,64.640663,0.000000,0.000641,0.207950
37,0.186464,0.019044,59.111377,0.185869,0.019167,59.201329,0.000000,0.000571,0.361655
38,0.186462,0.050076,65.249943,0.186445,0.050552,65.336041,0.000000,0.001948,0.377076
39,0.186361,0.025183,68.936371,0.186548,0.025175,68.935916,0.000000,0.000609,0.241592
40,0.186382,0.049650,63.149537,0.186452,0.049459,63.127868,0.000000,0.001096,0.092497
41,0.186420,0.019362,65.130065,0.186414,0.019562,65.214737,0.000000,0.000689,0.248935
42,0.186527,0.067780,68.048684,0.185749,0.067592,68.036806,0.000000,0.001308,0.082215
43,0.186497,0.042802,69.396515,0.186138,0.042610,69.381101,0.000000,0.001316,0.179763
44,0.186497,0.030561,57.204272,0.186510,0.030221,57.078307,0.000000,0.001049,0.349760
45,0.186443,0.044121,69.077456,0.186409,0.044041,69.066445,0.000000,0.001524,0.194897
46,0.186305,0.031895,64.665387,0.185832,0.032011,64.688577,0.000000,0.000664,0.186855
47,0.186533,0.041662,68.917172,0.186431,0.041825,68.945967,0.000000,0.000809,0.103816
48,0.186418,0.019389,70.494903,0.186415,0.019347,70.489957,0.000000,0.000414,0.211078
49,0.186425,0.040498,72.745035,0.186474,0.040039,72.744987,0.000000,0.003935,0.237427
50,0.186471,0.048320,69.568383,0.186482,0.048219,69.542379,0.000000,0.000901,0.139052
51,0.186422,0.030103,65.517863,0.186057,0.029864,65.442498,0.000000,0.000682,0.194030
52,0.186399,0.041051,64.387264,0.186458,0.041006,64.378371,0.000000,0.000754,0.128754
53,0.186403,0.036920,63.587430,0.186451,0.040231,64.325594,0.000000,0.003908,0.795675
54,0.186429,0.025496,70.295973,0.186510,0.025676,70.342723,0.000000,0.000607,0.209209
55,0.186420,0.050971,61.822299,0.186511,0.051715,61.901666,0.000000,0.001230,0.132686
56,0.186330,0.044848,69.729051,0.186461,0.044897,69.711820,0.000000,0.001580,0.374408
57,0.186332,0.028690,67.745114,0.186455,0.028756,67.772330,0.000000,0.000756,0.218156
58,0.186520,0.015946,56.359431,0.185820,0.015974,56.378167,0.000000,0.000389,0.335527
59,0.186229,0.030918,74.806762,0.185906,0.030961,74.829159,0.000000,0.000829,0.213960
60,0.186477,0.052262,70.579188,0.186751,0.052557,70.580828,0.000000,0.001644,0.160360
61,0.186472,0.048422,62.152535,0.186198,0.047908,62.111907,0.000000,0.001886,0.142533
62,0.186561,0.061295,80.394453,0.186640,0.061220,80.399877,0.000000,0.002087,0.138026
63,0.186520,0.014710,59.721194,0.186833,0.014624,59.581516,0.000000,0.000379,0.462351
64,0.186564,0.028686,69.417015,0.186357,0.028549,69.384437,0.000000,0.000702,0.193172
65,0.186368,0.028451,76.394011,0.186608,0.028432,76.401634,0.000000,0.000661,0.164726
66,0.186449,0.049109,69.594788,0.186477,0.049477,69.651988,0.000000,0.001249,0.184224
