rep,id,eta_p0,eta_alpha,eta_tau
5,55,0.000000,0.601664,-5.382703
6,55,0.000000,0.601664,-5.389738
7,55,0.000000,0.601664,-5.277696
8,55,0.000000,0.641316,-5.257475
9,55,0.000000,0.641316,-5.085372
10,55,0.000000,0.653121,-5.085372
1,56,0.000000,0.479668,2.534685
2,56,0.000000,0.511585,2.153980
3,56,0.000000,0.511585,2.594711
4,56,0.000000,0.526112,2.497479
5,56,0.000000,0.527511,2.629293
6,56,0.000000,0.590906,2.619970
7,56,0.000000,0.568458,2.887381
8,56,0.000000,0.520598,3.130881
9,56,0.000000,0.520598,3.009778
10,56,0.000000,0.523718,3.286220
1,57,0.000000,0.086151,0.737368
2,57,0.000000,0.095623,0.737368
3,57,0.000000,0.095623,0.967533
4,57,0.000000,0.051317,0.560003
5,57,0.000000,0.080151,0.449197
6,57,0.000000,0.085134,0.714219
7,57,0.000000,0.085134,0.714219
8,57,0.000000,0.106600,0.778792
9,57,0.000000,0.105185,0.778792
10,57,0.000000,0.105185,0.778792
1,58,0.000000,-0.468613,-10.949584
2,58,0.000000,-0.465574,-10.794562
3,58,0.000000,-0.538502,-11.388615
4,58,0.000000,-0.565201,-11.935954
5,58,0.000000,-0.495002,-11.638758
6,58,0.000000,-0.495002,-10.892077
7,58,0.000000,-0.516612,-11.806695
8,58,0.000000,-0.546573,-12.059075
9,58,0.000000,-0.546573,-12.059075
10,58,0.000000,-0.549472,-12.020438
1,59,0.000000,0.113982,7.655407
2,59,0.000000,0.116422,7.372316
3,59,0.000000,0.137592,7.768900
4,59,0.000000,0.139313,7.305421
5,59,0.000000,0.139313,7.583757
6,59,0.000000,0.139313,7.583757
7,59,0.000000,0.161949,7.874744
8,59,0.000000,0.146011,7.570477
9,59,0.000000,0.146011,7.570477
10,59,0.000000,0.151731,7.776953
1,60,0.000000,0.646159,3.703956
2,60,0.000000,0.669768,3.543207
3,60,0.000000,0.669768,3.543207
4,60,0.000000,0.672808,3.543207
5,60,0.000000,0.691576,3.766622
6,60,0.000000,0.701489,3.766622
7,60,0.000000,0.644784,3.877143
8,60,0.000000,0.643872,3.716054
9,60,0.000000,0.661468,3.737312
10,60,0.000000,0.661468,3.695335
1,61,0.000000,0.587633,-4.872005
2,61,0.000000,0.566629,-4.872005
3,61,0.000000,0.566629,-4.872005
4,61,0.000000,0.565216,-5.001071
5,61,0.000000,0.565216,-4.920737
6,61,0.000000,0.550869,-4.920737
7,61,0.000000,0.570699,-4.967001
8,61,0.000000,0.570699,-4.967001
9,61,0.000000,0.521965,-5.154899
10,61,0.000000,0.521965,-5.154899
1,62,0.000000,0.806057,13.428511
2,62,0.000000,0.806057,13.428511
3,62,0.000000,0.806057,13.428511
4,62,0.000000,0.819301,13.428511
5,62,0.000000,0.819301,13.428511
6,62,0.000000,0.819301,13.428511
7,62,0.000000,0.819301,13.428511
8,62,0.000000,0.798037,13.428511
9,62,0.000000,0.798037,13.428511
10,62,0.000000,0.798037,13.428511
1,63,0.000000,-0.667862,-9.425003
2,63,0.000000,-0.673855,-9.452207
3,63,0.000000,-0.652930,-9.452207
4,63,0.000000,-0.650241,-9.452207
5,63,0.000000,-0.666321,-9.452207
6,63,0.000000,-0.663373,-8.955774
7,63,0.000000,-0.666848,-9.433363
8,63,0.000000,-0.629302,-9.204412
9,63,0.000000,-0.653689,-9.566974
10,63,0.000000,-0.660926,-9.339595
1,64,0.000000,0.044034,1.849866
2,64,0.000000,0.044034,1.899361
3,64,0.000000,0.055199,2.210698
4,64,0.000000,0.033813,2.121677
5,64,0.000000,0.060530,2.143937
6,64,0.000000,0.060530,2.164805
7,64,0.000000,0.040154,1.911838
8,64,0.000000,0.039198,1.842819
9,64,0.000000,0.050357,1.781788
10,64,0.000000,0.045045,1.899848
1,65,0.000000,0.018989,8.868832
2,65,0.000000,0.030070,9.098888
3,65,0.000000,0.037264,8.906423
4,65,0.000000,0.016171,8.906423
5,65,0.000000,0.029690,8.941198
6,65,0.000000,0.029690,8.941198
7,65,0.000000,0.026928,9.094702
8,65,0.000000,0.026928,9.094702
9,65,0.000000,0.026928,8.885867
10,65,0.000000,0.008648,8.885867
1,66,0.000000,0.579378,2.569833
2,66,0.000000,0.610239,2.676622
3,66,0.000000,0.609004,2.543898
4,66,0.000000,0.597431,2.585128
5,66,0.000000,0.597431,2.585128
6,66,0.000000,0.597431,2.715433
7,66,0.000000,0.612056,2.715433
8,66,0.000000,0.612056,2.715433
9,66,0.000000,0.630414,2.787850
10,66,0.000000,0.630414,2.787850
1,67,0.000000,-0.138179,16.479530
2,67,0.000000,-0.150210,16.369977
3,67,0.000000,-0.157485,16.087759
4,67,0.000000,-0.130391,16.734018
5,67,0.000000,-0.153840,17.178692
6,67,0.000000,-0.210678,17.380153
7,67,0.000000,-0.166240,17.190974
8,67,0.000000,-0.138804,17.247788
9,67,0.000000,-0.164818,17.103628
10,67,0.000000,-0.179464,17.433993
1,68,0.000000,-0.420345,3.360831
2,68,0.000000,-0.420345,3.342580
3,68,0.000000,-0.420345,3.397289
4,68,0.000000,-0.421730,3.307685
5,68,0.000000,-0.421730,3.307685
6,68,0.000000,-0.414455,3.307685
7,68,0.000000,-0.426009,3.219678
8,68,0.000000,-0.426009,3.113363
9,68,0.000000,-0.426009,3.267716
10,68,0.000000,-0.433360,3.278148
1,69,0.000000,-0.268042,4.546834
2,69,0.000000,-0.282771,4.369076
3,69,0.000000,-0.301473,4.431779
4,69,0.000000,-0.315434,4.111958
5,69,0.000000,-0.289716,4.359463
6,69,0.000000,-0.230472,4.935229
7,69,0.000000,-0.203670,5.217716
8,69,0.000000,-0.201443,5.251630
9,69,0.000000,-0.245926,4.763040
10,69,0.000000,-0.245926,4.763040
1,70,0.000000,-0.635017,2.336558
2,70,0.000000,-0.601515,2.508874
3,70,0.000000,-0.506152,2.415139
4,70,0.000000,-0.513543,2.792591
5,70,0.000000,-0.545862,2.782160
6,70,0.000000,-0.504676,2.800210
7,70,0.000000,-0.551939,2.546716
8,70,0.000000,-0.529183,2.366149
9,70,0.000000,-0.529183,2.376786
