rep,id,p0,alpha,tau
9,69,0.164594,0.019232,71.329553
10,69,0.164594,0.019232,71.329553
1,70,0.164594,0.013033,68.903071
2,70,0.164594,0.013477,69.075388
3,70,0.164594,0.014826,68.981652
4,70,0.164594,0.014717,69.359104
5,70,0.164594,0.014248,69.348674
6,70,0.164594,0.014848,69.366724
7,70,0.164594,0.014162,69.113230
8,70,0.164594,0.014488,68.932662
9,70,0.164594,0.014488,68.943299
10,70,0.164594,0.014488,69.443665
1,71,0.164594,0.010124,67.949171
2,71,0.164594,0.010018,66.767617
3,71,0.164594,0.009711,67.829393
4,71,0.164594,0.010964,68.377360
5,71,0.164594,0.011011,68.558773
6,71,0.164594,0.010757,68.197369
7,71,0.164594,0.010632,67.707226
8,71,0.164594,0.010378,67.430605
9,71,0.164594,0.010393,67.248407
10,71,0.164594,0.010325,67.899145
1,72,0.164594,0.011095,59.647356
2,72,0.164594,0.011037,59.390057
3,72,0.164594,0.010892,59.729347
4,72,0.164594,0.011023,59.432615
5,72,0.164594,0.011104,59.239095
6,72,0.164594,0.011516,59.768106
7,72,0.164594,0.011372,59.894641
8,72,0.164594,0.011372,59.894641
9,72,0.164594,0.011726,60.311842
10,72,0.164594,0.011438,60.024822
1,73,0.164594,0.028271,67.070705
2,73,0.164594,0.029006,67.249489
3,73,0.164594,0.029003,66.663647
4,73,0.164594,0.029003,66.808278
5,73,0.164594,0.029003,66.841805
6,73,0.164594,0.026518,66.333424
7,73,0.164594,0.026518,66.333424
8,73,0.164594,0.026518,66.333424
9,73,0.164594,0.026518,66.333424
10,73,0.164594,0.027292,66.059969
1,74,0.164594,0.030722,72.633874
2,74,0.164594,0.030496,72.859286
